employee_id,title,hire_date,salary
EMP185,Data Analytics Manager,2017-10-26,116000
EMP186,Maintenance Technician,2022-04-01,55000
EMP187,Strategic Account Manager,2019-07-22,111000
EMP188,Embedded Software Engineer,2020-03-16,95000
EMP189,Talent Acquisition Specialist,2018-09-07,77000
EMP190,Senior Project Coordinator,2021-02-23,80000
EMP191,Chief Marketing Officer,2014-08-14,198000
EMP192,Shipping Coordinator,2019-12-11,59000
EMP193,Lead Developer,2017-05-30,124000
EMP194,Public Relations Manager,2020-10-21,96000
EMP195,Financial Reporting Analyst,2021-07-06,82000
EMP196,Technical Sales Engineer,2018-08-16,99000
EMP197,Operations Coordinator,2022-02-01,64000
EMP198,Senior Data Engineer,2016-12-20,126000
EMP199,Corporate Receptionist,2020-06-15,50000
EMP200,Director of Human Resources,2015-11-17,142000
EMP201,eCommerce Specialist,2021-09-20,73000
EMP202,Systems Integration Engineer,2019-03-25,90000
EMP203,Creative Director,2017-02-13,128000
EMP204,Helpdesk Manager,2020-12-17,87000
EMP205,Financial Controller,2018-04-30,119000
EMP206,Customer Relationship Manager,2019-10-15,92000
EMP207,Associate Data Analyst,2022-03-14,67000
EMP208,Senior Marketing Director,2015-03-09,159000
EMP209,Java Developer,2021-06-07,89000
EMP210,Corporate Communications Specialist,2020-02-24,77000
EMP211,Regional Manager,2016-10-31,130000
EMP212,Test Automation Engineer,2019-09-17,93000
EMP213,Accounts Receivable Specialist,2021-01-12,62000
EMP214,Director of Operations,2015-08-03,147000
EMP215,Field Service Technician,2022-02-14,58000
EMP216,Lead UX Researcher,2018-07-19,101000
EMP217,Implementation Specialist,2020-11-10,80000
EMP218,Compliance Manager,2017-04-18,113000
EMP219,Associate Project Manager,2021-08-16,78000
EMP220,Technical Director,2016-01-27,138000
EMP221,Administrative Services Manager,2020-05-04,86000
EMP222,Python Developer,2019-11-25,92000
EMP223,Revenue Manager,2018-03-06,96000
EMP224,Employee Relations Specialist,2021-10-04,75000
EMP225,Chief Operations Officer,2014-05-23,210000
EMP226,Warehouse Supervisor,2022-01-10,70000
EMP227,Senior UX Strategist,2017-11-13,109000
EMP228,Corporate Accountant,2020-08-25,84000
EMP229,Inside Sales Manager,2018-10-01,105000
EMP230,Junior Software Tester,2021-03-29,64000
EMP231,Senior Technical Support Engineer,2019-05-06,91000
EMP232,Email Developer,2022-04-04,71000
EMP233,Director of Finance,2015-12-14,156000
EMP234,Customer Support Specialist,2020-07-20,63000
EMP235,Platform Engineer,2019-01-08,98000
EMP236,Physical Security Manager,2017-08-10,95000
EMP237,Marketing Operations Specialist,2021-05-03,79000
EMP238,SQL Developer,2018-12-03,88000
EMP239,Travel Coordinator,2022-03-21,56000
EMP240,Chief Financial Officer,2014-09-29,220000
EMP241,Junior Product Manager,2021-09-01,74000
EMP242,Network Operations Engineer,2019-06-18,94000
EMP243,Learning & Development Manager,2016-07-25,107000
EMP244,Web Content Manager,2020-04-13,86000
EMP245,Production Manager,2017-09-07,104000
EMP246,Inventory Control Analyst,2021-11-22,68000
EMP247,Senior Risk Manager,2018-01-29,125000
EMP248,Solutions Consultant,2020-10-05,97000
EMP249,Telecommunications Engineer,2019-08-14,90000
EMP250,District Manager,2016-03-01,131000
EMP251,Internal Communications Specialist,2022-01-17,72000
EMP252,C++ Developer,2020-06-29,93000
EMP253,Category Manager,2018-05-10,99000
EMP254,Diversity & Inclusion Specialist,2021-04-12,78000
EMP255,Desktop Engineer,2019-12-05,76000
EMP256,Strategic Planning Manager,2017-06-19,120000
EMP257,Associate Software Architect,2022-03-08,105000
EMP258,Sales Operations Manager,2016-09-15,114000
EMP259,Digital Analyst,2021-08-02,76000
EMP260,Technical Program Manager,2018-04-23,115000
EMP261,Claims Processor,2022-02-18,57000
EMP262,Senior Android Developer,2019-02-11,102000
EMP263,Treasury Analyst,2020-09-21,83000
EMP264,Documentation Specialist,2021-07-19,65000
EMP265,IT Security Manager,2017-03-13,123000
EMP266,Brand Strategist,2020-01-06,92000
EMP267,Performance Marketing Manager,2018-11-05,106000
EMP268,Junior Systems Administrator,2022-04-11,63000
EMP269,Plant Manager,2016-05-02,117000
EMP270,Research Associate,2021-10-07,71000
EMP271,iOS Developer,2019-09-23,94000
EMP272,Learning Experience Designer,2020-05-18,82000
EMP273,Vendor Management Specialist,2018-07-02,79000
EMP274,Associate Creative Director,2017-10-16,113000
EMP275,Benefits Administrator,2021-02-15,69000
EMP276,Information Security Analyst,2019-04-15,97000
EMP277,Client Services Coordinator,2022-01-13,61000
EMP278,Principal Product Manager,2015-09-07,143000
EMP279,Junior Content Writer,2021-12-06,55000
EMP280,Manufacturing Engineer,2020-03-23,86000
EMP281,Digital Marketing Manager,2018-08-27,104000
EMP282,Proposal Writer,2022-03-28,68000
EMP283,Cloud Solutions Architect,2017-12-19,131000
EMP284,Staff Engineer,2019-07-01,111000
EMP285,Sustainability Coordinator,2021-06-14,74000
EMP286,Director of Customer Success,2016-11-07,139000
EMP287,Asset Manager,2020-10-26,90000
EMP288,Cross-Platform Developer,2019-01-14,96000
EMP289,Pricing Analyst,2021-03-15,77000
EMP290,Senior Project Director,2015-07-06,147000
EMP291,Junior UI Designer,2022-02-28,60000
EMP292,Technical Architect,2018-06-11,132000
EMP293,Ethics Officer,2020-04-20,93000
EMP294,Field Marketing Manager,2017-05-08,108000
EMP295,Scrum Master,2021-08-23,89000
EMP296,Telecommunications Manager,2018-09-24,101000
EMP297,Business Operations Analyst,2020-12-01,84000
EMP298,Employee Experience Manager,2019-11-05,98000
EMP299,Director of Business Development,2016-02-22,148000
EMP300,Front Desk Coordinator,2021-05-24,52000
